STORE_NO,ZIP,SQUARE_FEET,U_CITY,U_STATE,CENSUS_REGION,CENSUS_DIVISION,TOT_ATTRITION_2012,TOT_ATTRITION_2013,NUM_ASSISTANT_MANAGERS,NUM_CUST_ACC_REPS,NUM_STORE_MANAGERS,NUM_EMP_PAY_TYPE_H,AVG_PAY_RATE_PAY_TYPE_S,AVG_PAY_RATE_PAY_TYPE_H,NAT_CURR_ROBBERY,NAT_CURR_BURGLARY,NAT_CURR_MOT_VEH_THEFT,NAT_PAST_ROBBERY,NAT_PAST_BURGLARY,NAT_PAST_MOT_VEH_THEFT,FRONTAGE_ROAD,NUM_PARKING_SPACES,SIGNAGE_VISIBILITY_IND,AUTOZONE_IND,TARGET_IND,WALMART_IND,PAYLESS_IND,COMP_PRESENCE_IND,STRIP_SHOP_CENTER_IND,SINGLE_TENANT_IND,PAD_IN_SHOP_CENTER_IND,MARKETING_EXP_2013,MARKETING_EXP_2012,TOT_NUM_LEADS,NUM_CONVERTED_TO_AGREEMENT,PERC_CONVERTED_TO_AGREEMENT,URBANICITY,CYA01V001,CYB02V001,CYA12V001,CYA12V002,CYA12V003,CYA12V007,CYA12V008,CYA21V001,CYB07VBASE,XCX03V069,PERC_CYEA07V001,PERC_CYEA07V004,PERC_CYEA07V007,PERC_CYEA07V010,PERC_CYB11V006,PERC_CYB11V007,PERC_CYC13VV01
40,42240,5900,HOPKINSVILLE,KY,South,East South Central,3,1,5,6,1,5,43000,11.982,109,246,56,157,363,79,Yes,Greater than 10,Yes,0,0,0,1,0,0,0,0,2634.29,2885,13682,470,0.056341405,Emerging suburban,34738,14111,8162,12100,10281,2459,4560,73.61,14111,48.08,0.632333468,0.313978928,0.003655939,0.010104209,0.016370208,0.011267805,0.640566527
58,13208,5487,SYRACUSE,NY,Northeast,Middle Atlantic,4,3,6,8,2,3,45000,12.88333333,561,208,280,458,167,161,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,358.86,831.83,9060,306,0.06163142,Emerging suburban,29591,12260,7051,12296,11469,2133,3071,106.06,12260,57.73,0.954918725,0.015714237,0.002973877,0.008313339,0.016313214,0.007504078,0.97593863
59,43952,5100,STEUBENVILLE,OH,Midwest,East North Central,0,2,2,5,1,4,40000,11.8575,164,174,59,209,200,67,No,Between 1 and 10,Yes,1,0,0,0,0,1,0,0,429.79,520.77,8113,429,0.075263158,Emerging suburban,53128,22827,13393,20717,19198,4592,5845,79.27,22827,34.07,0.894518898,0.073275862,0.00144933,0.004912664,0.014631796,0.00766636,0.417802289
66,49544,3860,GRAND RAPIDS,MI,Midwest,East North Central,2,1,4,4,3,4,45000,11.665,291,433,258,294,365,212,No,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,779.01,521.81,8246,344,0.063739114,Suburban,150962,60680,49294,50210,44613,6653,14700,80.72,60680,51.8,0.776592785,0.103588983,0.007988765,0.015308488,0.023796968,0.016512854,0.149163366
74,45840,4000,FINDLAY,OH,Midwest,East North Central,2,4,2,12,1,4,46000,12.015,113,355,110,107,324,71,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,585.92,252.96,10395,497,0.05830596,Emerging suburban,50322,21044,12306,20870,19148,2569,5048,98.67,21044,44.27,0.917690076,0.020189977,0.002742339,0.022991932,0.017962365,0.008363429,0.552362784
79,37211,4345,NASHVILLE,TN,South,East South Central,2,3,7,12,2,4,58000,11.115,258,336,251,262,454,276,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1313.86,1769.83,18806,497,0.04918844,Suburban,162521,66601,56528,53095,42877,5190,15397,63.04,66601,54.94,0.603054375,0.222260508,0.004331748,0.043397469,0.023663308,0.021305986,0.173079171
89,26041,4700,MOUNDSVILLE,WV,South,South Atlantic,4,5,7,12,1,4,52000,11.2825,38,41,23,50,39,28,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1168.31,1487.07,13228,496,0.062,Emerging suburban,25262,11122,4899,11368,10555,2015,2908,68.47,11122,27.29,0.978307339,0.00661072,0.001662576,0.002493864,0.013217047,0.005754361,0.875663051
90,14850,5641,ITHACA,NY,Northeast,Middle Atlantic,4,3,8,5,3,4,43000,11.0675,75,45,109,137,72,102,Yes,Greater than 10,Unable to determine,0,0,0,0,0,1,0,0,1059.38,1459.71,7031,240,0.057498802,Emerging suburban,60315,22281,33239,16023,14534,2150,2887,93.64,22281,87.34,0.753411258,0.052159496,0.00351488,0.136831634,0.011579373,0.009694358,0.451827904
150,7055,5000,PASSAIC,NJ,Northeast,Middle Atlantic,4,0,7,6,1,5,57000,12.144,736,64,298,757,74,385,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,926.77,462.65,11573,362,0.047320261,Superurban,155935,50599,54169,51705,43295,6685,8005,11.02,50599,114.23,0.59240068,0.080648988,0.00786225,0.053637734,0.051364652,0.055929959,0.129143553
151,7003,4788,BLOOMFIELD,NJ,Northeast,Middle Atlantic,1,3,3,4,1,3,49000,12.23,291,71,285,289,68,223,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",No,0,0,0,0,0,0,0,0,557.42,758.88,10426,321,0.055913604,Superurban,136949,53043,46876,44810,37011,6983,11924,11.93,53043,136.73,0.395388064,0.408633871,0.004614857,0.048309955,0.02775107,0.021642818,0.216890959
152,7002,4450,BAYONNE,NJ,Northeast,Middle Atlantic,4,7,4,14,4,5,52000,12.068,547,118,567,496,93,427,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,440.55,836.48,17028,447,0.129790941,Superurban,155537,56964,54297,52945,45359,8118,10135,14.09,56964,134.81,0.384622309,0.323961501,0.004481249,0.133363766,0.0314058,0.022522997,0.172428425
153,7050,4000,ORANGE,NJ,Northeast,Middle Atlantic,1,4,4,7,2,4,49000,11.8975,663,88,435,704,95,464,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,234.4,600.52,14623,420,0.164254986,Superurban,156280,57829,55349,46580,36427,9592,11801,15.6,57829,155.66,0.199673663,0.676023803,0.004811876,0.023201945,0.03411783,0.03001954,0.168671615
154,7060,4500,PLAINFIELD,NJ,Northeast,Middle Atlantic,3,1,2,6,2,4,47000,12.71,803,136,686,972,143,1062,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,1228.52,471.04,10767,412,0.080155642,Urban,161900,53636,46457,64666,56724,7921,9619,40.39,53636,126.13,0.553304509,0.236695491,0.004478073,0.066053119,0.038295175,0.037400254,0.218282891
156,7111,3750,IRVINGTON,NJ,Northeast,Middle Atlantic,2,0,1,7,2,3,50000,12.54,594,157,608,610,138,489,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,1166.22,984.86,13212,333,0.074098798,Superurban,212551,75884,80829,58762,42033,9924,16436,14.25,75884,159.9,0.117581192,0.791885242,0.00382026,0.018409699,0.035659691,0.03037531,0.106647346
158,10303,4072,STATEN ISLAND,NY,Northeast,Middle Atlantic,3,2,2,10,2,5,44000,11.992,269,44,288,261,46,273,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,328.33,376.31,12294,255,0.115856429,Superurban,115531,39197,31781,48152,43834,5469,6347,10.97,39197,114.6,0.603067575,0.167868364,0.00555695,0.072456743,0.039212185,0.034339363,0.233426526
159,7753,4500,NEPTUNE CITY,NJ,Northeast,Middle Atlantic,4,2,3,15,1,5,58000,12.146,481,168,407,455,150,373,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,2738.15,1669.61,19099,613,0.135799734,Suburban,123674,52550,33817,48987,42425,8473,11852,64.16,52550,92.03,0.721671491,0.189797371,0.002741077,0.030022479,0.019486204,0.013891532,0.316064816
160,7307,4600,JERSEY CITY,NJ,Northeast,Middle Atlantic,0,3,3,7,4,4,49000,11.8875,442,64,302,423,57,304,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,438.78,761.84,12448,510,0.302132701,Superurban,224069,90782,86301,80841,66311,6105,13362,9.88,90782,134.75,0.545961289,0.082443355,0.006065096,0.167903637,0.022559538,0.0170959,0.169175567
161,7505,4200,PATERSON,NJ,Northeast,Middle Atlantic,3,2,7,8,1,5,52000,12.394,575,70,341,662,60,514,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,777.66,822.24,9880,469,0.071657754,Superurban,185567,58115,67862,57262,46653,9280,10346,15.44,58115,129.34,0.427392802,0.265736904,0.009608389,0.040260391,0.051931515,0.051484126,0.094386394
163,8021,3790,CLEMENTON,NJ,Northeast,Middle Atlantic,5,1,6,13,2,4,44000,12.06,439,264,333,473,232,392,Yes,Between 1 and 10,Unable to determine,0,0,0,0,0,0,0,0,769.65,1172.27,6863,283,0.05621772,Suburban,133998,51978,37867,53959,47583,6475,10879,52.54,51978,102.58,0.69385364,0.18790579,0.0025075,0.056202331,0.023721575,0.014948632,0.250130599
164,19082,6200,UPPER DARBY,PA,Northeast,Middle Atlantic,1,0,1,4,0,4,50000,14.0525,683,192,289,801,209,408,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,930.61,1004.42,12611,390,0.076112412,Superurban,214487,81837,85472,53648,40755,12901,16945,13.91,81837,146.9,0.179554006,0.717535329,0.003599286,0.058334538,0.031550521,0.026076225,0.094635106
211,77063,4055,HOUSTON,TX,South,West South Central,5,0,4,8,5,4,42000,10.9875,492,278,292,576,293,503,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,243.19,541.47,11851,338,0.055246813,Superurban,121666,50346,39854,41409,30127,4099,9665,13.99,50346,73.63,0.521542584,0.156740585,0.016348035,0.077178505,0.027152107,0.020498153,0.214949123
252,75208,6275,DALLAS,TX,South,West South Central,3,1,4,6,2,4,48000,12.0975,415,346,555,395,363,517,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,974.05,600.56,9686,442,0.05704698,Urban,252484,87169,90961,73925,56860,10806,22728,58.39,87169,73.2,0.433781943,0.31641609,0.007232141,0.013121624,0.044717732,0.049662151,0.081446745
301,35816,4800,HUNTSVILLE,AL,South,East South Central,3,0,3,7,1,4,42000,11.5025,457,1144,791,554,1237,1310,No,Greater than 10,No,0,0,1,0,0,0,0,0,397.89,371.07,10831,289,0.094754098,Suburban,108611,44961,32066,41371,37367,4207,10059,111.78,44961,63.84,0.553129978,0.350903684,0.005579545,0.036755025,0.017926648,0.008518494,0.291581884
313,71603,7495,PINE BLUFF,AR,South,West South Central,0,0,2,3,1,4,48000,13.08,220,414,88,295,512,115,Yes,Greater than 10,Yes,0,0,0,0,1,1,0,0,1075.1,892.72,11000,290,0.08102822,Emerging suburban,46024,17157,14205,13724,11405,3117,5421,95.85,17157,71.64,0.205132105,0.770663132,0.001825135,0.005692682,0.023780381,0.020166696,0.366591344
314,72205,5820,LITTLE ROCK,AR,South,West South Central,2,3,4,7,1,4,44000,12.555,238,632,272,196,573,234,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,280.96,275.59,11795,359,0.074963458,Suburban,134929,60600,36880,50163,43887,7145,16156,65.11,60600,57.66,0.546650461,0.378784398,0.003505547,0.030438231,0.013465347,0.007458746,0.234389938
317,75501,6000,TEXARKANA,TX,South,West South Central,1,0,3,3,2,3,48000,12.74666667,244,328,133,279,451,163,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1181.62,459.42,10332,403,0.052364865,Emerging suburban,70546,28299,18559,22871,19811,4755,9502,73.83,28299,51.29,0.562795906,0.367745868,0.005996088,0.009341423,0.019894696,0.013180678,0.321591586
319,61866,6000,RANTOUL,IL,Midwest,East North Central,3,1,2,6,1,3,45000,11.46333333,83,226,56,130,379,80,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,391.83,695.7,8372,317,0.043058951,Emerging suburban,16029,6453,3902,5893,5441,837,1891,94.47,6453,52.81,0.712146734,0.188346123,0.005240502,0.014972862,0.025104603,0.013172168,1.318298085
320,62703,5213,SPRINGFIELD,IL,Midwest,East North Central,0,0,3,3,1,3,41000,11.24,276,287,137,290,348,131,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,254.26,479.4,8359,309,0.049710425,Suburban,120291,53543,32885,42108,38007,6576,15591,103.06,53543,51.82,0.762027084,0.184643905,0.002502265,0.015412624,0.016173916,0.010066675,0.23756557
321,62522,6246,DECATUR,IL,Midwest,East North Central,0,0,2,3,0,4,47000,12.4825,221,225,108,272,318,99,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,273.83,208.52,13390,536,0.077333718,Emerging suburban,75861,32211,19506,27598,25040,5092,9300,87.65,32211,52.06,0.717127378,0.229960059,0.002425489,0.009715137,0.016050418,0.00996554,0.330538749
334,65203,4620,COLUMBIA,MO,Midwest,West North Central,1,0,4,5,1,4,44000,12.1075,148,376,205,227,448,168,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,1606.61,985.9,11629,403,0.05013685,Suburban,120177,47793,48011,39539,36880,3773,8943,106.22,47793,57.88,0.787463491,0.117584896,0.003644624,0.047463325,0.014897579,0.007658025,0.209124874
335,65109,4500,JEFFERSON CITY,MO,Midwest,West North Central,0,4,5,8,1,4,43000,11.6225,127,331,137,136,294,113,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,969.56,609.23,13529,550,0.105586485,Emerging suburban,52113,22234,12647,20410,18593,2715,5726,75.67,22234,50.94,0.815688984,0.126974076,0.003377276,0.01753881,0.017135918,0.006116758,0.537754495
337,64804,3750,JOPLIN,MO,Midwest,West North Central,5,3,8,11,2,4,43000,11.0625,108,384,75,139,389,95,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,974.38,543.09,11748,410,0.047240466,Emerging suburban,60114,22315,13447,23761,21744,3218,7865,78.04,22315,40.01,0.881874439,0.029394151,0.018215391,0.014405962,0.021196505,0.036477706,0.321738697
338,65026,4600,ELDON,MO,Midwest,West North Central,1,0,4,8,1,5,48000,11.994,62,306,53,88,614,85,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,2533.97,1250.46,19074,777,0.063987483,Rural,16543,6743,3169,7161,6399,1133,1864,256.57,6743,33.04,0.965000302,0.004835882,0.005621713,0.003264221,0.022838499,0.013198873,1.133651696
341,19720,3942,NEW CASTLE,DE,South,South Atlantic,0,2,3,6,1,5,44000,12.552,152,193,202,155,175,256,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,1182.4,638.74,13745,317,0.039694465,Suburban,116870,45175,36724,38985,33938,6199,11716,50.02,45175,63.11,0.494053222,0.379079319,0.004321041,0.027765894,0.028887659,0.022468179,0.208796098
344,8109,5600,PENNSAUKEN,NJ,Northeast,Middle Atlantic,1,1,4,5,1,5,56000,14.4,811,243,538,802,229,497,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,1460.49,808.73,12098,520,0.132924335,Superurban,151952,54556,55385,45116,38524,8062,9985,24.45,54556,115.94,0.449799937,0.304918659,0.005462251,0.042789828,0.03480827,0.030665738,0.151468885
345,8638,4200,TRENTON,NJ,Northeast,Middle Atlantic,4,5,6,14,0,5,53000,12.068,634,120,349,613,127,354,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1652.15,1143.12,14395,575,0.118069815,Suburban,198350,71037,67473,68621,56339,10218,14894,54.25,71037,123.3,0.493244265,0.33038064,0.004608016,0.048616083,0.029421288,0.0257753,0.147229645
352,48036,3637,CLINTON TOWNSHIP,MI,Midwest,East North Central,2,1,4,9,3,4,48000,12.0125,142,146,95,141,201,99,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,757.34,376.27,11297,399,0.092985318,Suburban,169360,71526,45379,67992,64237,9995,16865,48.31,71526,47.77,0.834163911,0.120482995,0.003755314,0.01271847,0.016567402,0.008066997,0.152497638
353,43602,4000,TOLEDO,OH,Midwest,East North Central,4,4,7,8,3,5,46000,11.242,309,380,192,348,402,167,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,334.38,934.72,10208,403,0.053047256,Suburban,236404,95454,77413,69679,60635,11004,28937,77,95454,58.55,0.653724133,0.262533629,0.004115836,0.010541277,0.0224087,0.013346743,0.085798041
360,44108,3200,CLEVELAND,OH,Midwest,East North Central,0,0,2,3,1,4,47000,12.685,530,430,313,482,300,243,Yes,Greater than 10,No,0,0,0,0,0,1,0,0,622.8,612.03,10570,416,0.06949549,Suburban,110283,47647,47315,22202,16031,7549,13479,21.8,47647,89.43,0.169790448,0.766337514,0.002303166,0.036451674,0.02071484,0.017881504,0.149080094
362,44111,4033,CLEVELAND,OH,Midwest,East North Central,2,2,5,5,0,5,52000,11.1,288,269,230,406,429,407,Yes,Greater than 10,No,0,0,0,1,0,0,0,0,621.6,206.47,12360,449,0.066194899,Urban,270577,119519,94705,80586,70618,12641,30448,54.74,119519,57.79,0.684895612,0.191978624,0.004050603,0.024144698,0.018950962,0.01342046,0.084925918
366,44137,4313,MAPLE HEIGHTS,OH,Midwest,East North Central,0,2,4,4,1,5,45000,12.602,404,554,246,349,448,203,Yes,Greater than 10,No,0,0,0,0,0,0,0,0,908.24,631.44,10969,376,0.052712744,Suburban,147251,62981,47039,47058,41371,10100,16563,65.95,62981,88.89,0.364459325,0.592430612,0.001758902,0.015646753,0.017846652,0.01041584,0.171027701
367,44203,6000,BARBERTON,OH,Midwest,East North Central,1,4,8,8,0,4,48000,11.15,248,323,126,308,417,170,Yes,Greater than 10,No,0,0,0,1,0,0,0,0,565.98,430.25,13831,533,0.046091318,Suburban,84090,35040,21236,31678,29650,5462,10162,61.44,35040,44.33,0.823177548,0.138875015,0.002818409,0.008990368,0.019063927,0.010188356,0.257700083
368,27103,4000,WINSTON SALEM,NC,South,South Atlantic,7,6,7,14,0,4,47000,11.27,314,423,269,253,434,150,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,808.68,1017.49,9162,344,0.093478261,Suburban,125240,50988,40868,39014,32451,7143,11907,65.89,50988,59.64,0.4545832,0.390753753,0.004367614,0.017574257,0.021691378,0.018200361,0.196782178
369,27260,4000,HIGH POINT,NC,South,South Atlantic,3,3,7,11,1,5,45000,10.822,703,975,532,609,868,409,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,975.45,430.32,10914,389,0.135776614,Suburban,110258,42885,29385,43293,37290,5372,9653,91.94,42885,51.14,0.579576992,0.2952983,0.006421303,0.045194,0.023061677,0.015646496,0.200910592
370,27405,5180,GREENSBORO,NC,South,South Atlantic,7,10,10,14,2,3,47000,10.46333333,378,491,331,495,534,346,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,1114.06,446.76,13156,339,0.121854781,Suburban,156671,61843,58622,46006,38706,8698,14123,90.18,61843,60.41,0.412986449,0.483363226,0.005725374,0.032520377,0.020471193,0.01494106,0.149000134
374,36867,4542,PHENIX CITY,AL,South,East South Central,1,5,3,9,2,4,45000,11.3025,348,886,262,384,1004,300,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,1274.51,506.88,11048,325,0.141673932,Suburban,86763,36149,24243,27085,22015,5720,10748,85.19,36149,54.98,0.458951396,0.481610825,0.003722785,0.005659094,0.017870481,0.011867548,0.206482026
380,31533,4200,DOUGLAS,GA,South,South Atlantic,4,0,4,6,1,4,40000,10.7925,45,53,41,48,57,38,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,1,0,2179.3,1470.91,11848,599,0.2997998,Emerging suburban,23384,8537,4991,9299,8064,1342,2435,126.21,8537,48.2,0.575992131,0.329498803,0.002822443,0.00868115,0.030455664,0.01862481,0.696630175
381,31904,4000,COLUMBUS,GA,South,South Atlantic,7,4,8,10,1,4,41000,10.2275,215,270,119,238,222,162,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,2081.2,1479.58,10428,316,0.11884167,Suburban,147295,60909,39815,51498,44200,9189,16884,81.4,60909,57.13,0.511347975,0.415051427,0.003503174,0.01931498,0.018420923,0.010934345,0.158505041
383,31907,4000,COLUMBUS,GA,South,South Atlantic,7,1,3,10,2,5,0,10.624,338,697,418,294,526,287,No,Greater than 10,No,0,0,0,0,0,1,0,0,1040.07,835.78,10622,296,0.104188666,Suburban,123919,48180,38030,37463,30109,7580,14245,107.77,48180,64.8,0.35929922,0.566256991,0.003825079,0.012266077,0.023183894,0.016064757,0.158135556
388,30286,3600,THOMASTON,GA,South,South Atlantic,2,1,4,5,1,5,45000,12.732,56,30,38,67,34,43,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,596.07,505.64,9035,363,0.147023086,Emerging suburban,18870,7590,5170,6416,5609,1559,2034,79.12,7590,43.41,0.635294118,0.328298887,0.002384738,0.005193429,0.024769434,0.016996047,0.935188129
392,30241,4500,LAGRANGE,GA,South,South Atlantic,4,2,5,9,2,5,45000,10.922,209,581,182,236,419,154,No,Between 1 and 10,Yes,0,0,0,0,0,0,1,0,1770.39,1143.07,16388,420,0.063810392,Emerging suburban,35836,13621,10444,11716,9978,2704,2881,68.6,13621,58.08,0.497628084,0.433391004,0.002706775,0.02226811,0.025108289,0.015711034,0.597164862
393,30236,5000,JONESBORO,GA,South,South Atlantic,0,2,7,8,1,4,60000,14.875,542,730,597,704,1155,1107,Yes,Greater than 10,No,1,0,0,0,0,1,0,0,1070.57,820.37,12270,425,0.097365407,Suburban,174016,60036,58748,49678,38478,7440,16892,79.01,60036,78.76,0.194516596,0.650365484,0.003482438,0.057402768,0.040109268,0.034429342,0.106961429
397,31061,3200,MILLEDGEVILLE,GA,South,South Atlantic,1,2,4,5,1,4,46000,11.945,72,179,46,67,159,39,No,Greater than 10,Yes,0,0,1,0,0,0,0,0,1288.58,337.09,12143,456,0.101604278,Emerging suburban,28806,11212,12467,7658,6462,1422,2323,64.94,11212,55.74,0.535235715,0.417343609,0.002291189,0.018190655,0.015429897,0.008829825,0.70551274
406,27858,4965,GREENVILLE,NC,South,South Atlantic,2,0,2,4,0,4,46000,12.1725,278,578,324,345,621,399,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,1510.99,851.2,11573,472,0.059311385,Suburban,106765,43652,43937,32681,28239,4144,7247,96.44,43652,54.87,0.588863392,0.345899874,0.003615417,0.022142088,0.014661413,0.009025932,0.218751464
