STORE_NO,REVENUE_2013,ZIP,SQUARE_FEET,U_CITY,U_STATE,CENSUS_REGION,CENSUS_DIVISION,TOT_ATTRITION_2012,TOT_ATTRITION_2013,NUM_ASSISTANT_MANAGERS,NUM_CUST_ACC_REPS,NUM_STORE_MANAGERS,NUM_EMP_PAY_TYPE_H,AVG_PAY_RATE_PAY_TYPE_S,AVG_PAY_RATE_PAY_TYPE_H,NAT_CURR_ROBBERY,NAT_CURR_BURGLARY,NAT_CURR_MOT_VEH_THEFT,NAT_PAST_ROBBERY,NAT_PAST_BURGLARY,NAT_PAST_MOT_VEH_THEFT,FRONTAGE_ROAD,NUM_PARKING_SPACES,SIGNAGE_VISIBILITY_IND,AUTOZONE_IND,TARGET_IND,WALMART_IND,PAYLESS_IND,COMP_PRESENCE_IND,STRIP_SHOP_CENTER_IND,SINGLE_TENANT_IND,PAD_IN_SHOP_CENTER_IND,MARKETING_EXP_2013,MARKETING_EXP_2012,TOT_NUM_LEADS,NUM_CONVERTED_TO_AGREEMENT,PERC_CONVERTED_TO_AGREEMENT,URBANICITY,CYA01V001,CYB02V001,CYA12V001,CYA12V002,CYA12V003,CYA12V007,CYA12V008,CYA21V001,CYB07VBASE,XCX03V069,PERC_CYEA07V001,PERC_CYEA07V004,PERC_CYEA07V007,PERC_CYEA07V010,PERC_CYB11V006,PERC_CYB11V007,PERC_CYC13VV01
68,823494,48327,4550,WATERFORD,MI,Midwest,East North Central,1,1,3,6,1,4,50000,13.35,326,392,204,331,511,225,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,733.81,418.67,18168,621,0.03694889,Suburban,115477,45859,32773,40412,36226,5633,13383,44.19,45859,64.52,0.615568468,0.279432268,0.004788832,0.027312798,0.024989642,0.016528926,0.240835837
69,628750,45102,3000,AMELIA,OH,Midwest,East North Central,5,3,6,11,4,3,40000,11.23666667,74,183,65,72,158,57,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,513.07,758.22,12274,315,0.037375415,Emerging suburban,79171,31836,14911,36626,34715,3503,7433,66.11,31836,44.74,0.945573506,0.014714984,0.002513547,0.014626568,0.021516522,0.009894459,0.388046128
70,778895,48180,5000,TAYLOR,MI,Midwest,East North Central,4,1,4,7,2,4,47000,13.445,131,117,80,148,185,95,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,588.57,273.95,7393,358,0.073814433,Urban,148679,60665,40269,54312,50611,10428,16492,50.18,60665,50.72,0.813954896,0.124637642,0.00546143,0.013545961,0.021214869,0.012313525,0.160405975
75,872247,13021,5000,AUBURN,NY,Northeast,Middle Atlantic,7,2,6,10,3,4,46000,10.65,161,97,129,294,158,285,No,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,1130.83,1376.79,9637,495,0.079479769,Emerging suburban,40917,17105,10448,16670,14805,3182,3682,91.07,17105,55.71,0.895911235,0.06012171,0.003690398,0.00606105,0.016486408,0.007833967,0.649094508
78,738374,30080,3905,SMYRNA,GA,South,South Atlantic,1,2,4,7,0,4,50000,15.435,422,680,477,372,612,413,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,1246.51,584.28,11897,322,0.118208517,Suburban,135586,55627,40586,49410,41918,4642,10752,48.22,55627,65.45,0.499409969,0.319103742,0.004639122,0.04216512,0.024736189,0.022938501,0.221335536
80,739372,45431,3750,DAYTON,OH,Midwest,East North Central,1,1,4,2,2,4,42000,11.6175,271,527,221,294,535,267,Yes,Greater than 10,No,1,0,0,0,0,0,0,0,656.09,463.37,10444,410,0.097526166,Suburban,105580,44140,33564,36001,32170,5245,11393,40.3,44140,46.67,0.831691608,0.092924796,0.003172949,0.025137337,0.018056185,0.011259629,0.20152491
82,1541942,12206,4500,ALBANY,NY,Northeast,Middle Atlantic,5,3,4,18,0,4,60000,11.7,720,453,579,777,525,683,Yes,Greater than 10,No,0,0,0,0,0,1,0,0,2307.41,838.37,18605,592,0.158585588,Suburban,174631,73824,71845,53915,46473,10267,12442,67.28,73824,89.36,0.691578242,0.194856583,0.002628399,0.056965831,0.015089944,0.00853381,0.171384233
83,874347,30263,5850,NEWNAN,GA,South,South Atlantic,0,4,4,7,1,4,55000,14.875,118,152,108,141,159,161,No,Greater than 10,No,0,0,0,0,0,1,0,0,749.48,458.57,13276,347,0.094344753,Emerging suburban,67139,24099,13776,29688,26310,2557,5686,88.12,24099,54.61,0.664576476,0.243926779,0.003127839,0.020524583,0.030291713,0.018216524,0.389952189
91,688923,38305,4800,JACKSON,TN,South,East South Central,2,2,3,8,1,3,52000,10.37,160,874,187,260,1203,464,Unable to determine,Greater than 10,Unable to determine,0,0,0,0,0,1,0,0,793.44,629.15,12962,373,0.036024725,Emerging suburban,66825,25506,19495,22934,19567,3702,6943,97.96,25506,55.2,0.526838758,0.41922933,0.001975309,0.012555181,0.019956089,0.013879087,0.366000748
93,607578,14701,3965,JAMESTOWN,NY,Northeast,Middle Atlantic,2,1,2,5,2,3,41000,12.32666667,216,104,68,272,114,61,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,802.55,818.51,11583,380,0.092300219,Emerging suburban,48213,20769,12040,18681,16831,3329,5113,80.87,20769,54.24,0.913176944,0.029784498,0.004853463,0.005496443,0.016514998,0.008329722,0.456536619
94,978191,14760,4000,OLEAN,NY,Northeast,Middle Atlantic,1,4,4,7,0,3,0,11.80666667,80,130,54,137,148,80,No,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,339.4,385.86,13877,441,0.074898098,Emerging suburban,24486,10141,7350,9601,8639,1390,1990,84.19,10141,53.43,0.921016091,0.028955321,0.005595034,0.014661439,0.016665023,0.006508234,0.906395491
97,473235,41071,4350,NEWPORT,KY,South,East South Central,1,5,5,3,3,3,42000,11.35,460,358,407,551,318,326,Yes,Greater than 10,Yes,1,0,0,0,0,0,0,0,397.08,314.94,8325,254,0.048575253,Suburban,164634,71871,59925,47357,40330,8630,19278,55.14,71871,50.2,0.724716644,0.22672109,0.002253484,0.01223927,0.017183565,0.011659779,0.152167839
99,732403,49424,5000,HOLLAND,MI,Midwest,East North Central,1,1,6,5,0,4,42000,11.3525,164,341,161,129,286,109,No,Greater than 10,Yes,0,0,0,0,0,1,0,0,1261.42,695.57,9980,337,0.038874149,Emerging suburban,93771,34032,21156,41878,39286,3414,6665,75.95,34032,56.2,0.807136535,0.025882202,0.005065532,0.052297619,0.031969911,0.016513869,0.264026192
155,1109973,8861,2960,PERTH AMBOY,NJ,Northeast,Middle Atlantic,3,1,3,5,0,5,51000,12.714,403,82,407,394,85,479,No,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,377.86,364.58,9895,304,0.036670688,Urban,212588,75276,57255,87901,79399,11816,14400,48.04,75276,120.45,0.625449226,0.084487365,0.004619264,0.145807854,0.03289229,0.023619746,0.144932922
157,904350,7036,3315,LINDEN,NJ,Northeast,Middle Atlantic,0,1,2,2,1,3,48000,13.21,261,69,381,213,53,258,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,459.95,427.56,11726,323,0.046879536,Urban,245677,85188,76484,91042,76910,11209,19501,38.7,85188,124.93,0.564594976,0.232659142,0.005535724,0.046955963,0.036084895,0.029076865,0.106049813
162,1329124,7093,4995,WEST NEW YORK,NJ,Northeast,Middle Atlantic,0,1,2,7,1,5,53000,13.164,626,70,425,548,66,385,Yes,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,386.73,1374.89,15686,479,0.085826913,Superurban,207695,77299,62738,78629,61890,10026,18723,9.18,77299,135.19,0.639466525,0.044782012,0.011059486,0.058552204,0.033338077,0.028473848,0.128399817
165,961376,19134,5000,PHILADELPHIA,PA,Northeast,Middle Atlantic,1,1,4,4,2,4,47000,12.61,1367,395,829,1545,403,663,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,552.58,1074.74,15357,348,0.038752784,Superurban,194966,65876,85180,41950,29040,7722,12086,12.89,65876,120.06,0.413451576,0.259547819,0.014597417,0.030938728,0.046541988,0.042413018,0.066232061
169,880599,11413,5144,SPRINGFIELD GARDE,NY,Northeast,Middle Atlantic,8,2,5,13,2,3,46000,11.97,331,58,537,324,71,714,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,750.08,906.72,10651,241,0.046177429,Superurban,169334,54215,56257,59311,47962,9860,14014,11.47,54215,206.07,0.088346109,0.80865036,0.003938961,0.035556947,0.049930831,0.045614682,0.165022972
170,1247262,11237,5650,RIDGEWOOD,NY,Northeast,Middle Atlantic,0,1,3,4,1,4,59000,13.325,657,69,325,564,60,202,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,454.16,521.99,12720,427,0.089668207,Superurban,478404,169976,193798,141648,109013,18653,25250,11.56,169976,128.61,0.436131387,0.288383876,0.008616149,0.045743765,0.035228503,0.040311573,0.038498842
171,825400,13905,4400,BINGHAMTON,NY,Northeast,Middle Atlantic,2,4,11,8,1,4,45000,12.015,249,377,174,193,195,95,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,2144.01,968.28,10533,358,0.067880167,Suburban,90195,36912,33108,30032,25455,4997,8517,44.94,36912,66.22,0.796928876,0.085570154,0.002450247,0.062109873,0.01538795,0.011649328,0.265990354
172,814083,19144,4500,PHILADELPHIA,PA,Northeast,Middle Atlantic,1,0,1,7,0,3,48000,12.65333333,729,170,306,860,219,407,No,"0 (e.g., street parking, structure/lot more than 2 doors down, parking in back)",Yes,0,0,0,0,0,0,0,0,2317.68,1168.95,17232,311,0.029408984,Superurban,147855,60839,62274,35364,26719,10298,13504,13.78,60839,146.95,0.210307396,0.73564641,0.003374928,0.015488147,0.022074656,0.019280396,0.158838051
220,810379,85202,6000,MESA,AZ,West,Mountain,2,2,5,3,2,4,46000,11.3525,403,454,338,460,389,450,No,Greater than 10,No,0,0,0,0,0,0,0,0,1740.54,1401.62,13596,391,0.057138682,Urban,177582,66423,58991,53663,46425,7483,17140,40.24,66423,90.09,0.644862655,0.052021038,0.048276289,0.022305189,0.035198651,0.034551285,0.114893401
251,898849,75228,9000,DALLAS,TX,South,West South Central,4,2,9,11,2,4,45000,10.5,384,448,428,330,435,327,Yes,Greater than 10,Yes,0,0,0,1,0,1,0,0,633.23,1054.95,11978,436,0.05276534,Urban,160041,59925,41056,59290,48448,7371,13703,35.39,59925,60.45,0.585781144,0.178997882,0.008360358,0.022013109,0.037046308,0.030955361,0.153398192
300,768829,48507,3828,FLINT,MI,Midwest,East North Central,0,3,3,4,1,4,43000,11.855,266,368,83,385,573,153,Yes,Between 1 and 10,Yes,0,0,0,0,0,0,0,0,598.41,338.16,10181,486,0.086553874,Suburban,145419,60368,44596,45478,39509,8845,16294,75.42,60368,57.7,0.662430632,0.274895303,0.006429696,0.009242259,0.021518023,0.012854492,0.138516975
302,954493,35601,8640,DECATUR,AL,South,East South Central,2,0,5,5,1,5,51000,11.602,161,371,139,131,306,141,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,537.78,286.72,13691,434,0.051330574,Emerging suburban,60228,23966,13627,24386,20459,3552,6643,67.72,23966,47.79,0.663578402,0.2118948,0.007305572,0.008384804,0.019736293,0.013477426,0.366108787
305,814944,31404,4000,SAVANNAH,GA,South,South Atlantic,2,0,2,6,1,4,46000,12.5175,391,543,366,340,427,229,Yes,Greater than 10,No,0,0,0,0,0,1,0,0,301.91,465.83,11989,383,0.115396204,Suburban,105912,41038,42132,27117,21983,6116,10637,59.73,41038,58.8,0.403410378,0.544612509,0.002549286,0.018996903,0.0229056,0.017788391,0.199684644
306,693932,31906,6000,COLUMBUS,GA,South,South Atlantic,1,6,6,5,3,4,42000,11.0825,295,511,346,275,353,240,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1311.12,530.59,10862,318,0.160931174,Suburban,153718,61680,44630,49140,40672,9437,17689,129.4,61680,60.74,0.426775004,0.498985155,0.003760132,0.01506655,0.021595331,0.013748379,0.134792282
308,682287,39819,4000,BAINBRIDGE,GA,South,South Atlantic,0,5,4,6,1,3,40000,10.75,49,51,35,48,46,36,Yes,Greater than 10,No,0,0,0,0,0,1,0,0,1369.34,484.4,9262,333,0.083187609,Emerging suburban,16391,6198,4485,6050,5244,876,1336,91.93,6198,54.27,0.486608505,0.465560369,0.003233482,0.007748155,0.024362698,0.01500484,1.049173327
309,787353,31792,4800,THOMASVILLE,GA,South,South Atlantic,2,2,6,4,3,4,42000,11.61,95,294,64,75,327,49,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,2368.53,1693.3,10130,444,0.19137931,Emerging suburban,28896,11457,7598,11023,9395,1765,2443,132.01,11457,52.12,0.540870709,0.422515227,0.00408361,0.008582503,0.021384307,0.011521341,0.705287929
310,771985,32301,6500,TALLAHASSEE,FL,South,South Atlantic,1,0,3,5,1,4,49000,12.715,225,387,245,313,437,288,Yes,Greater than 10,No,1,0,0,0,0,1,0,0,1043.86,842.51,10840,369,0.058617951,Suburban,136340,55345,68161,32962,29617,4923,10945,119.76,55345,55.05,0.523346047,0.406300425,0.002677131,0.031252751,0.013045442,0.007588761,0.152552442
316,674898,72901,6349,FORT SMITH,AR,South,West South Central,7,0,8,7,3,4,47000,11.1875,298,756,254,266,622,258,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,1551.07,975.3,11630,394,0.037953954,Emerging suburban,67626,27047,17049,23559,20715,3830,8281,48.27,27047,43.62,0.648641055,0.103673144,0.020628161,0.051060243,0.027174918,0.021518098,0.287640848
324,976861,47714,6000,EVANSVILLE,IN,Midwest,East North Central,2,2,4,10,1,4,47000,11.125,210,555,278,196,614,211,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,895.81,581.93,12835,498,0.063165906,Suburban,84201,35863,24456,25050,22849,5057,13175,39.47,35863,48.43,0.778019263,0.164036057,0.00282657,0.006995166,0.018208181,0.011069905,0.254925714
326,965117,42301,6480,OWENSBORO,KY,South,East South Central,1,1,3,7,2,4,44000,11.2625,86,554,100,104,419,105,No,Greater than 10,No,0,0,0,0,0,0,0,0,535.26,555.2,16432,613,0.055485156,Emerging suburban,60487,25595,12573,23086,20542,4735,7916,78.9,25595,31.69,0.876932233,0.072131202,0.001454858,0.007968654,0.018245751,0.00906427,0.363086283
327,769182,61611,4775,EAST PEORIA,IL,Midwest,East North Central,2,2,3,9,1,4,43000,11.4775,227,296,243,195,305,179,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,523.15,610.83,11076,452,0.067002668,Suburban,145120,60083,39600,53132,48731,8110,15332,112.77,60083,53.45,0.73911935,0.194135888,0.003424752,0.013416483,0.022119402,0.01398066,0.1770328
329,891449,52806,4536,DAVENPORT,IA,Midwest,West North Central,3,3,6,10,0,5,49000,11.588,74,89,59,83,74,54,Yes,Greater than 10,Yes,0,0,0,0,0,0,0,0,581.11,611.28,12130,404,0.082786885,Suburban,95081,38838,25794,35763,33551,4751,9332,49.68,38838,51.97,0.799150198,0.112251659,0.00384935,0.023011958,0.020160667,0.011998558,0.262134391
330,907818,62301,6166,QUINCY,IL,Midwest,East North Central,3,1,4,3,1,3,51000,11.97333333,109,133,60,103,127,70,Yes,Between 1 and 10,Yes,0,0,0,0,0,1,0,0,840.31,720.2,12924,414,0.133076181,Emerging suburban,49029,20673,12122,18760,17694,3601,5425,72.1,20673,38.93,0.917844541,0.046707051,0.001876441,0.008627547,0.016785179,0.00701398,0.517061331
331,691180,61401,4039,GALESBURG,IL,Midwest,East North Central,0,1,5,5,1,4,51000,10.755,79,138,62,92,115,61,Yes,Greater than 10,Yes,0,0,0,0,0,1,0,0,549.52,345.7,11330,381,0.070256316,Emerging suburban,34585,14119,10693,12339,11203,2015,3864,101.74,14119,40.57,0.82038456,0.108775481,0.002457713,0.008616452,0.016006799,0.008782492,0.662425907
332,944806,61265,5700,MOLINE,IL,Midwest,East North Central,5,0,3,10,1,4,48000,11.735,131,84,76,175,118,92,No,Greater than 10,Yes,0,0,0,0,0,0,0,0,870.06,796.67,12420,395,0.092160523,Suburban,107964,45630,28406,41385,38225,6148,11294,41.49,45630,52.58,0.777749991,0.117928198,0.003047312,0.01740395,0.01884725,0.012623274,0.248249417
